Subscriptions,Operation,Mean_Time_s,StdErr_Time_s,Mean_Bytes,StdErr_Bytes
1,KeyGen,0.002015010800678283,8.101588708334121e-05,1387.55,0.4302630156384146
1,Issuance,0.0082145486221998,8.536352859202082e-05,2883.21,1.1323788315673418
1,Show,0.012089910540234996,4.2907342876945506e-05,966.09,0.36211918346078137
1,Verify,0.011828554251260358,2.608315209475012e-05,970.09,0.36211918346078137
1,FullFlow,0.034148024214373435,0.0001546730977253422,3853.3,1.1866683690828783
3,KeyGen,0.003022234979289351,0.0001156154902799502,2109.09,0.5226380248800359
3,Issuance,0.011164747599541442,0.00047192377643397003,4009.41,1.7562641134987742
3,Show,0.017533509980130476,0.0005796799438503225,1166.4,0.6134848297746541
3,Verify,0.017512405829911586,0.0005426923083420215,1170.4,0.6134848297746541
3,FullFlow,0.049232898388872855,0.0015076534408263662,5179.81,1.8251716399154123
5,KeyGen,0.0036913549102609976,9.192809722257036e-06,2831.57,0.6530820481502777
5,Issuance,0.011821413310681237,3.005567392381041e-05,5129.94,2.2123537445239383
5,Show,0.020078378830367002,0.00011915615802190965,1366.89,0.6832623762124437
5,Verify,0.019881277010717895,0.0002098834208623934,1370.89,0.6832623762124437
5,FullFlow,0.05547242406202713,0.00030911732986736257,6500.83,2.364512677491961
10,KeyGen,0.005956092959822854,1.591020875207291e-05,4637.49,0.5387030815774216
10,Issuance,0.01668581366247963,0.00017639383487835905,7935.96,1.5284454372156877
10,Show,0.030048927020689006,6.089722021242149e-05,1868.37,0.5273633673399406
10,Verify,0.029654594210442156,4.697283810004039e-05,1872.37,0.5273633673399406
10,FullFlow,0.08234542785343364,0.00020806862758111013,9808.33,1.595578170121946
